timestamp,open,high,low,close,volume
2026-08-11 17:00:00+00:00,63512.59,63632.94,63461.88,63607.88,482.84238
2026-08-11 18:00:00+00:00,63607.87,63626.03,63251.59,63373.07,749.01907
2026-08-11 19:00:00+00:00,63373.07,63536.0,63238.0,63536.0,452.04779
2026-08-11 20:00:00+00:00,63536.0,63748.37,63536.0,63740.0,321.5572
2026-08-11 21:00:00+00:00,63740.0,63768.58,63622.0,63672.73,269.417
2026-08-11 22:00:00+00:00,63672.73,63768.0,63626.25,63668.49,253.27935
2026-08-11 23:00:00+00:00,63668.5,63668.5,63543.55,63600.0,204.82882
2026-08-12 00:00:00+00:00,63600.01,63745.53,63534.01,63742.07,247.42097
2026-08-12 01:00:00+00:00,63742.07,63855.5,63698.18,63813.8,499.92358
2026-08-12 02:00:00+00:00,63813.8,63908.01,63730.72,63749.76,612.29132
2026-08-12 03:00:00+00:00,63749.77,63845.91,63709.85,63835.59,538.85374
2026-08-12 04:00:00+00:00,63835.58,63891.42,63739.99,63769.58,568.35931
2026-08-12 05:00:00+00:00,63769.58,63869.56,63724.25,63849.94,540.4656
2026-08-12 06:00:00+00:00,63849.94,63849.94,63606.15,63711.97,563.28705
2026-08-12 07:00:00+00:00,63711.97,63838.0,63644.1,63837.99,458.43036
2026-08-12 08:00:00+00:00,63838.0,63867.2,63773.98,63794.94,303.11959
2026-08-12 09:00:00+00:00,63794.95,64130.47,63768.01,64108.81,553.52986
2026-08-12 10:00:00+00:00,64108.82,64218.0,64059.99,64143.36,996.13758
2026-08-12 11:00:00+00:00,64143.36,64249.5,64113.5,64240.04,414.30431
2026-08-12 12:00:00+00:00,64240.04,64500.0,63976.37,64119.71,1297.05947
2026-08-12 13:00:00+00:00,64119.72,64159.36,63840.0,63840.0,727.44098
2026-08-12 14:00:00+00:00,63840.0,63926.13,63362.74,63363.39,1163.88428
2026-08-12 15:00:00+00:00,63363.39,63570.01,63316.0,63441.47,771.05562
2026-08-12 16:00:00+00:00,63441.48,63578.0,63368.35,63492.12,487.79219
2026-08-12 17:00:00+00:00,63492.12,63556.0,63416.4,63471.0,292.36777
2026-08-12 18:00:00+00:00,63470.99,63522.56,63373.97,63386.59,396.92257
